Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
109,25,9,49,3,Some Random Commen with Id 109
110,25,9,39,3,Some Random Commen with Id 110
111,25,9,47,6,Some Random Commen with Id 111
112,25,9,95,8,Some Random Commen with Id 112
113,25,9,163,7,Some Random Commen with Id 113
114,25,9,119,3,Some Random Commen with Id 114
115,26,4,8,0,Some Random Commen with Id 115
116,26,4,199,2,Some Random Commen with Id 116
117,26,4,143,3,Some Random Commen with Id 117
118,26,4,27,4,Some Random Commen with Id 118
119,26,4,69,5,Some Random Commen with Id 119
120,27,3,166,3,Some Random Commen with Id 120
121,27,3,6,8,Some Random Commen with Id 121
122,27,3,12,2,Some Random Commen with Id 122
123,27,3,47,1,Some Random Commen with Id 123
124,27,3,48,4,Some Random Commen with Id 124
125,27,3,176,1,Some Random Commen with Id 125
126,27,3,109,5,Some Random Commen with Id 126
127,28,1,121,0,Some Random Commen with Id 127
128,29,1,16,8,Some Random Commen with Id 128
129,29,1,56,7,Some Random Commen with Id 129
130,30,9,52,3,Some Random Commen with Id 130
131,30,9,137,9,Some Random Commen with Id 131
132,30,9,24,9,Some Random Commen with Id 132
133,30,9,41,3,Some Random Commen with Id 133
134,30,9,110,0,Some Random Commen with Id 134
135,31,7,55,0,Some Random Commen with Id 135
136,31,7,156,8,Some Random Commen with Id 136
137,31,7,70,5,Some Random Commen with Id 137
138,31,7,44,9,Some Random Commen with Id 138
139,31,7,117,6,Some Random Commen with Id 139
140,32,6,192,3,Some Random Commen with Id 140
141,32,6,103,1,Some Random Commen with Id 141
142,32,6,148,1,Some Random Commen with Id 142
143,32,6,147,0,Some Random Commen with Id 143
144,33,7,32,0,Some Random Commen with Id 144
145,33,7,48,2,Some Random Commen with Id 145
146,34,0,145,1,Some Random Commen with Id 146
147,34,0,182,7,Some Random Commen with Id 147
148,34,0,78,2,Some Random Commen with Id 148
149,34,0,198,0,Some Random Commen with Id 149
150,35,4,24,4,Some Random Commen with Id 150
151,35,4,93,1,Some Random Commen with Id 151
152,35,4,79,3,Some Random Commen with Id 152
153,36,2,159,6,Some Random Commen with Id 153
154,36,2,105,2,Some Random Commen with Id 154
155,36,2,111,4,Some Random Commen with Id 155
156,36,2,37,9,Some Random Commen with Id 156
157,36,2,134,6,Some Random Commen with Id 157
158,36,2,197,9,Some Random Commen with Id 158
159,37,9,44,0,Some Random Commen with Id 159
160,37,9,43,8,Some Random Commen with Id 160
161,37,9,70,3,Some Random Commen with Id 161
162,37,9,2,7,Some Random Commen with Id 162
163,37,9,31,5,Some Random Commen with Id 163
164,37,9,125,5,Some Random Commen with Id 164
165,38,1,42,6,Some Random Commen with Id 165
166,38,1,27,4,Some Random Commen with Id 166
167,38,1,165,3,Some Random Commen with Id 167
168,39,2,80,6,Some Random Commen with Id 168
169,39,2,14,6,Some Random Commen with Id 169
170,39,2,199,0,Some Random Commen with Id 170
171,39,2,147,0,Some Random Commen with Id 171
172,39,2,98,4,Some Random Commen with Id 172
173,39,2,59,2,Some Random Commen with Id 173
